Giocatore,Posizione,Squadra,Mediavoto
Gatti,D,Juventus,5.91
Kean,A,Fiorentina,5.91
Moro N.,C,Bologna,5.91
Odgaard,C,Bologna,5.91
Orban G.,A,Verona,5.91
Sommer,P,Inter,5.91
Tourè I.,C,Pisa,5.91
Akpa Akpro,C,Verona,5.9
Bondo,C,Cremonese,5.9
Colombo,A,Genoa,5.9
Delprato,D,Parma,5.9
Diouf,C,Inter,5.9
Dodò,D,Fiorentina,5.9
Dominguez B.,A,Bologna,5.9
Fadera,C,Sassuolo,5.9
Fofana Y.,C,Milan,5.9
Idrissi R.,D,Cagliari,5.9
Jashari,C,Milan,5.9
Piotrowski,C,Udinese,5.9
Sarmiento J. *,C,Cremonese,5.9
Smolcic I.,D,Como,5.9
Sulemana I.,C,Cagliari,5.9
Bella-Kotchap,D,Verona,5.89
Casadei,C,Torino,5.89
Israel,P,Torino,5.89
Maldini,C,Lazio,5.89
Norton-Cuffy,D,Genoa,5.89
Almqvist,A,Parma,5.88
Buksa,A,Udinese,5.88
Hien,D,Atalanta,5.88
Lorran,C,Pisa,5.88
Pavoletti,A,Cagliari,5.88
Prati,C,Torino,5.88
Rugani,D,Fiorentina,5.88
Doig,D,Sassuolo,5.87
Kamara H.,D,Udinese,5.87
Pellegrini Lu.,D,Lazio,5.87
Bernardeschi,C,Bologna,5.86
Fullkrug,A,Milan,5.86
Heggem,D,Bologna,5.86
Obert,D,Cagliari,5.86
Rovella,C,Lazio,5.86
Zemura,D,Udinese,5.86
Bernede,C,Verona,5.85
Marin M.,C,Pisa,5.85
Marusic,D,Lazio,5.85
Miller L.,C,Udinese,5.85
Openda,A,Juventus,5.85
Pinamonti,A,Sassuolo,5.85
Ramadani,C,Lecce,5.85
Unai Nunez *,D,Verona,5.85
Calabresi,D,Pisa,5.84
Sanabria,A,Cremonese,5.84
Zortea,D,Bologna,5.84
Albiol,D,Pisa,5.83
Fabbian,C,Fiorentina,5.83
Ismajli,D,Torino,5.83
Joao Mario,D,Bologna,5.83
Johnsen *,A,Cremonese,5.83
Kristensen T.,D,Udinese,5.83
Mateus Lusuardi *,D,Pisa,5.83
Ndaba,D,Lecce,5.83
Obrador,D,Torino,5.83
Tsimikas,D,Roma,5.83
Bertola,D,Udinese,5.82
Britschgi,D,Parma,5.82
Djimsiti,D,Atalanta,5.82
Lipani,C,Sassuolo,5.82
Ngonge *,A,Torino,5.82
Ranieri L.,D,Fiorentina,5.82
Sorensen O.,C,Parma,5.82
Veiga D.,D,Lecce,5.82
Aebischer,C,Pisa,5.81
David,A,Juventus,5.81
Fazzini,C,Fiorentina,5.81
Lazzari,D,Lazio,5.81
Lucumì,D,Bologna,5.81
Vural,C,Pisa,5.81
Zerbin,C,Cremonese,5.81
Angelino,D,Roma,5.8
Cambiaso,D,Juventus,5.8
Gaspar K.,D,Lecce,5.8
Gutierrez,D,Napoli,5.8
Juan Jesus,D,Napoli,5.8
Lookman *,A,Atalanta,5.8
Luvumbo *,A,Cagliari,5.8
Muharemovic,D,Sassuolo,5.8
Sabelli,D,Genoa,5.8
Bianchetti,D,Cremonese,5.79
Estevez,C,Parma,5.79
Frese,D,Verona,5.79
Elmas,C,Napoli,5.78
Harroui,C,Verona,5.78
Ilkhan,C,Torino,5.78
Aboukhlal,A,Torino,5.77
Kaba *,C,Lecce,5.77
Maleh,C,Cremonese,5.77
Niasse,C,Verona,5.77
Nicolussi Caviglia,C,Parma,5.77
Walukiewicz,D,Sassuolo,5.77
Pierotti,C,Lecce,5.76
Pobega,C,Bologna,5.76
Pongracic,D,Fiorentina,5.76
Adopo,C,Cagliari,5.75
Al-Musrati,C,Verona,5.75
Belahyane,C,Lazio,5.75
Boloca,C,Sassuolo,5.75
Bowie,A,Verona,5.75
Bradaric,D,Verona,5.75
Cheddira,A,Lecce,5.75
Dallinga,A,Bologna,5.75
Diao,A,Como,5.75
Faye,D,Cremonese,5.75
Goglichidze *,D,Udinese,5.75
Grassi,C,Cremonese,5.75
Liteta,C,Cagliari,5.75
Mazzocchi,D,Napoli,5.75
Njie,A,Torino,5.75
Nkounkou,D,Torino,5.75
Ordonez C.,C,Parma,5.75
Patric,D,Lazio,5.75
Pedersen,D,Torino,5.75
Rui Modesto *,D,Udinese,5.75
Sala A.,C,Lecce,5.75
Sommariva,P,Genoa,5.75
Canestrelli,D,Pisa,5.74
Ndour,C,Fiorentina,5.74
Ahanor,D,Atalanta,5.73
Floriani Mussolini,D,Cremonese,5.73
Gineitis,C,Torino,5.73
Comuzzo,D,Fiorentina,5.72
Lucca *,A,Napoli,5.72
Piccoli,A,Fiorentina,5.72
Tramoni M.,C,Pisa,5.72
Anjorin,C,Torino,5.71
Cutrone *,A,Parma,5.71
Lazaro,D,Torino,5.71
Meister,A,Pisa,5.71
Noslin,A,Lazio,5.71
Bailey *,C,Roma,5.7
Bayo V.,A,Udinese,5.7
Carboni V. *,C,Genoa,5.7
Lovric,C,Verona,5.7
Moro L.,A,Sassuolo,5.7
Ratkov,A,Lazio,5.7
Sarr A.,A,Verona,5.7
Slotsager,D,Verona,5.7
Stulic,A,Lecce,5.7
Zarraga,C,Udinese,5.7
Candè,D,Sassuolo,5.69
Koopmeiners,C,Juventus,5.68
Oristanio,C,Parma,5.68
Pezzella Giu.,D,Cremonese,5.68
Tavares N.,D,Lazio,5.68
Valentini N.,D,Verona,5.68
Zapata D.,A,Torino,5.68
Estupinan,D,Milan,5.67
Hernani *,C,Parma,5.67
Hojholt,C,Pisa,5.67
Ondrejka,C,Parma,5.67
Vaz,A,Roma,5.67
Venturino,C,Roma,5.67
Camarda,A,Lecce,5.66
Tameze,C,Torino,5.65
Ehizibue,D,Udinese,5.64
Rodriguez Ju.,D,Cagliari,5.64
Dzeko *,A,Fiorentina,5.62
Lirola,D,Verona,5.62
Lykogiannis,D,Bologna,5.62
Nelsson,D,Verona,5.62
Olivera,D,Napoli,5.62
Vranckx,C,Sassuolo,5.62
Bonfanti *,D,Pisa,5.61
Dele-Bashiru,C,Lazio,5.61
Marianucci,D,Torino,5.6
Moumbagna,A,Cremonese,5.6
Sohm,C,Bologna,5.6
Gueye,A,Udinese,5.58
Immobile *,A,Bologna,5.58
Lovik *,D,Parma,5.58
Vitik,D,Fiorentina,5.58
Asllani *,C,Torino,5.57
Dia,A,Lazio,5.57
Otoa,D,Genoa,5.57
Sava,P,Udinese,5.57
Tete Morente *,C,Lecce,5.57
Biraghi,D,Torino,5.56
Casale,D,Bologna,5.56
Gimenez,A,Milan,5.56
Zè Pedro,D,Cagliari,5.56
Ambrosino *,A,Napoli,5.5
Ceccherini,D,Cremonese,5.5
Chukwueze,C,Milan,5.5
Denoon,D,Pisa,5.5
Di Pardo *,D,Cagliari,5.5
Ebosse,D,Torino,5.5
Fini *,C,Genoa,5.5
Gorter,C,Lecce,5.5
Gronbaek *,C,Genoa,5.5
Helgason,C,Lecce,5.5
Hysaj,D,Lazio,5.5
Jimenez A.,D,Milan,5.5
Kouassi *,D,Lecce,5.5
Kulenovic,A,Torino,5.5
Onana J.,C,Genoa,5.5
Palma *,D,Udinese,5.5
Richardson *,C,Fiorentina,5.5
Romagna,D,Sassuolo,5.5
Sabiri,C,Fiorentina,5.5
Siebert,D,Lecce,5.5
Stanciu *,C,Genoa,5.5
Stojilkovic,A,Pisa,5.5
Turati,P,Sassuolo,5.5
Morata,A,Como,5.46
Marì,D,Fiorentina,5.45
Coulibaly W.,D,Sassuolo,5.44
Troilo,D,Parma,5.44
Masina *,D,Torino,5.38
Ndiaye,D,Parma,5.36
Bozhinov,D,Pisa,5.33
Cham,D,Verona,5.17
Cornet,C,Genoa,5.1
Coppola F.,D,Pisa,5.0
Dembelè A. *,D,Torino,5.0
Dossena,D,Cagliari,5.0
Oyegoke,D,Verona,5.0
Perez M.,D,Lecce,5.0
